Folio,Contactos,Entrevistador,Supervisor,Fecha,HoraInicio,HoraTermino,Plaza,Tipodeentrevista,ContactosFiltros,ContactosCierredecuota,Genero,Edad,NSE,Tipo_Cliente,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,NIVEL,D,P1,P2_1,P2_2,P2_3,P2_4,P2_5,P3_Top,P3OT_1,P3OT_2,P3OT_3,P3OT_4,P3OT_5,P3OT_6,P3OT_7,P3OT_8,P3OT_9,P3OT_10,P4_Top,P4OT_1,P4OT_2,P4OT_3,P4OT_4,P4OT_5,P4OT_6,P4OT_7,P4OT_8,P4OT_9,P4OT_10,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P5_7,P5_8,P5_9,P5_10,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P7_7,P7_8,P7_9,P7_10,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8,P9_9,P9_10,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P10_9,P10_10,P11,P11a,B1_Elektra,B1_Coppel,B1_Famsa,B1_BodegaA,B1_Wallmart,B1_Chedraui,B1_Soriana,B1_SalinasYRocha,B1_Liverpool,B1_Otros,B2_Elektra,B2_Coppel,B2_Famsa,B2_BodegaA,B2_Wallmart,B2_Chedraui,B2_Soriana,B2_SalinasYRocha,B2_Liverpool,B2_Otros,P12_1_1,P12_1_2,P12_1_3,P12_1_4,P12_1_5,P12_1_6,P12_2_1,P12_2_2,P12_2_3,P12_2_4,P12_2_5,P12_2_6,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_3_6,P12_4_1,P12_4_2,P12_4_3,P12_4_4,P12_4_5,P12_4_6,P12_5_1,P12_5_2,P12_5_3,P12_5_4,P12_5_5,P12_5_6,P12_6_1,P12_6_2,P12_6_3,P12_6_4,P12_6_5,P12_6_6,P12_7_1,P12_7_2,P12_7_3,P12_7_4,P12_7_5,P12_7_6,P12_8_1,P12_8_2,P12_8_3,P12_8_4,P12_8_5,P12_8_6,P12_9_1,P12_9_2,P12_9_3,P12_9_4,P12_9_5,P12_9_6,P12_10_1,P12_10_2,P12_10_3,P12_10_4,P12_10_5,P12_10_6,P12_11_1,P12_11_2,P12_11_3,P12_11_4,P12_11_5,P12_11_6,P12_12_1,P12_12_2,P12_12_3,P12_12_4,P12_12_5,P12_12_6,P12_13_1,P12_13_2,P12_13_3,P12_13_4,P12_13_5,P12_13_6,P12_14_1,P12_14_2,P12_14_3,P12_14_4,P12_14_5,P12_14_6,P12_15_1,P12_15_2,P12_15_3,P12_15_4,P12_15_5,P12_15_6,P12_16_1,P12_16_2,P12_16_3,P12_16_4,P12_16_5,P12_16_6,P12_17_1,P12_17_2,P12_17_3,P12_17_4,P12_17_5,P12_17_6,P12_18_1,P12_18_2,P12_18_3,P12_18_4,P12_18_5,P12_18_6,P12_19_1,P12_19_2,P12_19_3,P12_19_4,P12_19_5,P12_19_6,P12_20_1,P12_20_2,P12_20_3,P12_20_4,P12_20_5,P12_20_6,P12_21_1,P12_21_2,P12_21_3,P12_21_4,P12_21_5,P12_21_6,P12_22_1,P12_22_2,P12_22_3,P12_22_4,P12_22_5,P12_22_6,P12_23_1,P12_23_2,P12_23_3,P12_23_4,P12_23_5,P12_23_6,P13_Elektra_1,P13_Coppel_1,P13_Famsa_1,P13_BodegaA_1,P13_Walmart_1,P13_Liverpool_1,P13_Elektra_2,P13_Coppel_2,P13_Famsa_2,P13_BodegaA_2,P13_Walmart_2,P13_Liverpool_2,P13_Elektra_3,P13_Coppel_3,P13_Famsa_3,P13_BodegaA_3,P13_Walmart_3,P13_Liverpool_3,P13_Elektra_4,P13_Coppel_4,P13_Famsa_4,P13_BodegaA_4,P13_Walmart_4,P13_Liverpool_4,P13_Elektra_5,P13_Coppel_5,P13_Famsa_5,P13_BodegaA_5,P13_Walmart_5,P13_Liverpool_5,P13_Elektra_6,P13_Coppel_6,P13_Famsa_6,P13_BodegaA_6,P13_Walmart_6,P13_Liverpool_6,P14_Elektra,P14_Coppel,P14_Famsa,P14_BodegaA,P14_Walmart,P14_Liverpool,P15_Elektra_Televisión,P15_Elektra_Radio,P15_Elektra_Revistas,P15_Elektra_Periódicos,P15_Elektra_Espectaculares,P15_Elektra_ParadadelCamiónyPosters,P15_Elektra_VallasyBardas,P15_Elektra_Cines,P15_Elektra_AutobusesyoMetro,P15_Elektra_Internet,P15_Elektra_CentrosComercialesySupermercados,P15_Elektra_RedesSociales,P15_Elektra_OtroEspecificar,P15_Coppel_Televisión,P15_Coppel_Radio,P15_Coppel_Revistas,P15_Coppel_Periódicos,P15_Coppel_Espectaculares,P15_Coppel_ParadadelCamiónyPosters,P15_Coppel_VallasyBardas,P15_Coppel_Cines,P15_Coppel_AutobusesyoMetro,P15_Coppel_Internet,P15_Coppel_CentrosComercialesySupermercados,P15_Coppel_RedesSociales,P15_Coppel_OtroEspecificar,P15_Famsa_Televisión,P15_Famsa_Radio,P15_Famsa_Revistas,P15_Famsa_Periódicos,P15_Famsa_Espectaculares,P15_Famsa_ParadadelCamiónyPosters,P15_Famsa_VallasyBardas,P15_Famsa_Cines,P15_Famsa_AutobusesyoMetro,P15_Famsa_Internet,P15_Famsa_CentrosComercialesySupermercados,P15_Famsa_RedesSociales,P15_Famsa_OtroEspecificar,P15_BodegaA_Televisión,P15_BodegaA_Radio,P15_BodegaA_Revistas,P15_BodegaA_Periódicos,P15_BodegaA_Espectaculares,P15_BodegaA_ParadadelCamiónyPosters,P15_BodegaA_VallasyBardas,P15_BodegaA_Cines,P15_BodegaA_AutobusesyoMetro,P15_BodegaA_Internet,P15_BodegaA_CentrosComercialesySupermercados,P15_BodegaA_RedesSociales,P15_BodegaA_OtroEspecificar,P15_Walmart_Televisión,P15_Walmart_Radio,P15_Walmart_Revistas,P15_Walmart_Periódicos,P15_Walmart_Espectaculares,P15_Walmart_ParadadelCamiónyPosters,P15_Walmart_VallasyBardas,P15_Walmart_Cines,P15_Walmart_AutobusesyoMetro,P15_Walmart_Internet,P15_Walmart_CentrosComercialesySupermercados,P15_Walmart_RedesSociales,P15_Walmart_OtroEspecificar,P15_Liverpool_Televisión,P15_Liverpool_Radio,P15_Liverpool_Revistas,P15_Liverpool_Periódicos,P15_Liverpool_Espectaculares,P15_Liverpool_ParadadelCamiónyPosters,P15_Liverpool_VallasyBardas,P15_Liverpool_Cines,P15_Liverpool_AutobusesyoMetro,P15_Liverpool_Internet,P15_Liverpool_CentrosComercialesySupermercados,P15_Liverpool_RedesSociales,P15_Liverpool_OtroEspecificar,P15_OTRAS_MARCAS,P15_Otra1_Televisión,P15_Otra1_Radio,P15_Otra1_Revistas,P15_Otra1_Periódicos,P15_Otra1_Espectaculares,P15_Otra1_ParadadelCamiónyPosters,P15_Otra1_VallasyBardas,P15_Otra1_Cines,P15_Otra1_AutobusesyoMetro,P15_Otra1_Internet,P15_Otra1_CentrosComercialesySupermercados,P15_Otra1_RedesSociales,P15_Otra1_OtroEspecificar,P15_OTRASMARCAS2,P15_Otra2_Televisión,P15_Otra2_Radio,P15_Otra2_Revistas,P15_Otra2_Periódicos,P15_Otra2_Espectaculares,P15_Otra2_ParadadelCamiónyPosters,P15_Otra2_VallasyBardas,P15_Otra2_Cines,P15_Otra2_AutobusesyoMetro,P15_Otra2_Internet,P15_Otra2_CentrosComercialesySupermercados,P15_Otra2_RedesSociales,P15_Otra2_OtroEspecificar,P16_1,P16A_1,P17,P18_1,P18_2,P18_3,P18_4,P18_5,P18_6,P18_7,P18_8,P18_9,P18_10,P18_11,P18_12,P18_13,P18_14,P19_1,P19A_1,P20,P21_1,P21_2,P21_3,P21_4,P21_5,P21_6,P21_7,P21_8,P21_9,P21_10,P21_11,P21_12,P21_13,P21_14
1,8,FRANCISCO ROLDAN MUÑOZ,HILARIO CANO,270915,2:36:00 PM,3:25:00 PM,México D.F.,Efectiva,5,0,Hombre,36-55,C-,Cliente frecuente Elektra,Tres,Uno,Si tiene,6-10,Otro tipo de material o acabado,Cero,Si tiene,Carrera técnica,C-,37,Si,Electrónica,Linea Blanca,Muebles,,,Elektra,Coppel,Bodega Aurrerá,Walmart,,,,,,,,Elektra,Coppel,Walmart,,,,,,,,,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,,,,,,Elektra,Coppel,Famsa,Walmart,,,,,,,Elektra,Coppel,Walmart,,,,,,,,Elektra,,,,,,,,,,Elektra,Coppel,Famsa,,,,,,,,Elektra,Coppel,Famsa,,,,,,,,Elektra,Coppel,Satisfecho,,,,,,,,,,He pensado así desde hace mucho tiempo,,,,,,,,,,Elektra,Coppel,,,,,Elektra,Coppel,Famsa,,,,Elektra,,,,,,Elektra,Coppel,Famsa,Walmart,,,Elektra,Coppel,,,,,Elektra,Famsa,,,,,Elektra,Coppel,Famsa,,,,Elektra,Coppel,,,,,Elektra,Coppel,Famsa,,,,Coppel,Famsa,Walmart,,,,Walmart,,,,,,Elektra,Walmart,,,,,Elektra,Walmart,,,,,Elektra,Coppel,Famsa,Walmart,,,Elektra,Coppel,Famsa,,,,Elektra,,,,,,Elektra,,,,,,Elektra,Coppel,,,,,Elektra,Coppel,,,,,Coppel,,,,,,Famsa,Walmart,,,,,Elektra,,,,,,Elektra,Coppel,Famsa,,,,10,9,8,6,7,5,9,8,7,5,8,4,10,8,7,7,8,3,10,7,7,6,7,4,10,8,7,6,8,4,2,4,5,7,5,8,Seguramente no compraría ahí,Probablemente no compraría ahí,Probablemente no compraría ahí,No estoy seguro si compraría o no,Probablemente no compraría ahí,Estoy seguro que compraría ahí,Televisión,Radio,,Periódicos,Espectaculares,,Vallas y Bardas,,,Internet,,,,Televisión,Radio,,Periódicos,Espectaculares,Parada del Camión y Posters,,,,,,,,,Radio,,,Espectaculares,,,,,,,,,,,,,,,,,,,,,,Televisión,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY UNO DE UN CLIENTE QUE COMPRA UN ESTEREO Y SE LO LLEVAN GRATIS Y AL INSTANTE HASTA SU HOGAR,TRATAN DE CONVENCER A LA GENTE QUE SI COMPRA AHÍ EL FLETE ES GRATIS,Mucho mejor y más interesado,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,Concuerda Completamente,Concuerda en parte,"VERANO, ELECTRONICO, ACABA DE PONER DURANTE TODO EL VERANO PUSIERA TODO LO ELECTRONICO DE OFERTA",INVITA A LA GENTE A QUE DURANTE EL VERANO VAYA A COMPRAR A COPPEL,Mucho mejor y más interesado,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda Completamente,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,Concuerda Completamente,Concuerda en parte
2,6,ALEJANDRO ARMENTA,DENISSE MORALES,270915,5:20:00 PM,5:47:00 PM,México D.F.,Efectiva,4,0,Hombre,36-55,C-,Cliente frecuente de la competencia,Tres,Uno,Si tiene,6-10,Tierra o cemento firme,Uno,Si tiene,Secundaria completa,C-,52,Si,Linea Blanca,,,,,Elektra,Coppel,Famsa,VIANA,,,,,,,,Elektra,Coppel,Famsa,VIANA,,,,,,,,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,Chedraui,Liverpool,VIANA,,,Elektra,Coppel,Famsa,Bodega Aurrerá,Chedraui,VIANA,,,,,Elektra,Coppel,Famsa,,,,,,,,Coppel,,,,,,,,,,Coppel,,,,,,,,,,Elektra,Coppel,,,,,,,,,Coppel,Bodega Aurrerá,,Regular,,,,,,,,,,He cambiado mi opinión recientemente para bien,,,,,,,,,Coppel,,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,Famsa,,,,,Bodega Aurrerá,,,,,,Walmart,,,,,,Walmart,,,,,,Liverpool,,,,,,Famsa,,,,,,Coppel,,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,7,9,7,6,7,7,6,9,6,7,7,9,8,8,6,7,7,7,7,8,7,8,8,8,7,7,8,7,7,9,5,5,4,3,5,8,Probablemente no compraría ahí,Probablemente no compraría ahí,Probablemente no compraría ahí,Seguramente no compraría ahí,Seguramente no compraría ahí,No estoy seguro si compraría o no,Televisión,Radio,,,,,,,,,,,,Televisión,,,,,,,,,,,,,Televisión,,,,,,,,,,,,,Televisión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIANA,Televisión,,Revistas,,,,,,,,,,,Chedraui,Televisión,,,,,,,,,,,,,"VEIA TELEVISORES, NEUMATICOS, LINEA BLANCA Y WESTER-UNION, DECIA PRECIOS CHIQUITOS Y PAGOS COMODOS",QUE ES BARATO Y QUE ALLI PUEDES ENVIAR Y RECIBIR DINERO,No cambió nada,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,Concuerda Completamente,No concuerda  en nada,"VEIA ZAPATOS, MOTOS, LINEA BLANCA Y TV´S, DECIAN COSTOS, REBAJADOS Y COMODIDADES DE PAGO, ADEMAS DE FACILIDAD DE CREDITO",QUE EN COOPEL ES MAS BARATO Y FACIL COMPRAR ADEMAS HAY VARIEDAD DE PRODUCTOS,Un poco mejor,Concuerda Completamente,Concuerda Completamente,Concuerda Completamente,Concuerda Completamente,Concuerda Completamente,No concuerda  en nada,Concuerda en parte,Concuerda en parte,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,Concuerda en parte,Concuerda en parte
3,7,FABIAN SOLIS LOPEZ,HILARIO CANO,270915,2:00:00 PM,2:50:00 PM,México D.F.,Efectiva,4,0,Hombre,25-35,D+/D,Cliente frecuente Elektra,Cuatro,Uno,Si tiene,6-10,Tierra o cemento firme,Cero,Si tiene,Secundaria completa,D+,34,Si,Linea Blanca,,,,,Elektra,Coppel,Chedraui,,,,,,,,,Elektra,Coppel,Chedraui,,,,,,,,,Elektra,Coppel,Chedraui,,,,,,,,Elektra,Coppel,Chedraui,,,,,,,,Elektra,,,,,,,,,,Elektra,,,,,,,,,,Elektra,,,,,,,,,,Elektra,Coppel,,,,,,,,,Elektra,Coppel,Satisfecho,,,,,,,,,,He cambiado mi opinión recientemente para bien,,,,,,,,,,Elektra,Coppel,,,,,Elektra,,,,,,Elektra,Coppel,,,,,Elektra,,,,,,Coppel,,,,,,Elektra,Coppel,,,,,Coppel,,,,,,Elektra,Coppel,,,,,Elektra,Coppel,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,Elektra,Coppel,,,,,Elektra,,,,,,Elektra,Coppel,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,Elektra,,,,,,Elektra,Coppel,,,,,Elektra,,,,,,Elektra,,,,,,Elektra,Coppel,,,,,9,9,2,4,5,2,9,8,2,4,5,2,9,9,3,5,5,4,10,10,5,7,7,4,10,10,5,7,7,5,2,3,8,6,8,6,Seguramente no compraría ahí,Probablemente no compraría ahí,No estoy seguro si compraría o no,Probablemente compraría ahí,Estoy seguro que compraría ahí,Probablemente compraría ahí,Televisión,Radio,,Periódicos,Espectaculares,,,,,,,Redes Sociales,,Televisión,,,,,,,,,,,Redes Sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRESTAMOS DE DINERO DESDE $3000.00 MUY RAPIDO Y FACIL, TRAMITES SENCILLOS Y RAPIDOS",OTORGARLE A LA GENTE PRESTAMOS EN EFECTIVO,Mucho mejor y más interesado,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda Completamente,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda Completamente,Concuerda Completamente,Concuerda en parte,TELEFONIA Y CREDITO. MENSUALIDADES COMODAS. ESTRENA FACIL Y RAPIDO,DAR A CONOCER QUE COMPRAR UN TELEFONO ES MUY FACIL,Un poco mejor,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda en parte,No concuerda  en nada,Concuerda en parte,Concuerda en parte,No concuerda  en nada,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda en parte
4,5,ALEJANDRO ARMENTA,DENISSE MORALES,270915,7:04:00 PM,7:29:00 PM,México D.F.,Efectiva,0,0,Mujer,25-35,D+/D,Cliente frecuente Elektra,Dos,Uno,Si tiene,0-5,Tierra o cemento firme,Cero,Si tiene,Secundaria completa,D,31,Si,Telefonia,,,,,Elektra,Coppel,Bodega Aurrerá,Walmart,Chedraui,TELCEL,,,,,,TELCEL,Elektra,Bodega Aurrerá,Walmart,Chedraui,,,,,,,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,Chedraui,Soriana,Salinas y Rocha,Liverpool,TELCEL,Elektra,Bodega Aurrerá,Walmart,Chedraui,TELCEL,,,,,,Elektra,Coppel,Walmart,,,,,,,,Elektra,,,,,,,,,,Elektra,,,,,,,,,,Elektra,Coppel,,,,,,,,,Elektra,Coppel,Satisfecho,,,,,,,,,,He pensado así desde hace mucho tiempo,,,,,,,,,,Elektra,,,,,,Bodega Aurrerá,,,,,,Coppel,,,,,,Walmart,,,,,,Bodega Aurrerá,,,,,,Bodega Aurrerá,,,,,,Bodega Aurrerá,,,,,,Coppel,,,,,,Famsa,,,,,,Coppel,,,,,,Coppel,Walmart,,,,,Elektra,Walmart,,,,,Elektra,Coppel,,,,,Liverpool,,,,,,Liverpool,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,Walmart,,,,,Coppel,,,,,,Coppel,,,,,,Elektra,Coppel,,,,,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,7,6,6,6,6,5,7,6,8,6,6,5,6,6,9,8,8,8,6,6,7,Probablemente no compraría ahí,Probablemente no compraría ahí,Probablemente no compraría ahí,Seguramente no compraría ahí,Seguramente no compraría ahí,Probablemente compraría ahí,Televisión,Radio,Revistas,,Espectaculares,Parada del Camión y Posters,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Televisión,Radio,,,Espectaculares,Parada del Camión y Posters,,,,,,,,Televisión,Radio,,,,,,,,,,,,,,,,,,,,,,,,,Chedraui,Televisión,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,"VEIA TELEFONOS, SALAS, COMPUTO; Y DECIA PRECIOS BAJOS Y MARCAS","LAS OFERTAS, COMODIDADES DE PAGO, EL BANCO AZTECA Y PODER ENVIAR DINERO",No cambió nada,Concuerda en parte,Concuerda Completamente,No concuerda  en nada,Concuerda Completamente,Concuerda Completamente,Concuerda Completamente,Concuerda Completamente,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda Completamente,,,,,,,,,,,,,,,,,
5,6,KARINA MICHELLE ULTRERAS,HILARIO CANO,270915,10:03:00 AM,10:46:00 AM,México D.F.,Efectiva,4,0,Mujer,36-55,D+/D,Cliente frecuente de la competencia,Cuatro,Uno,Si tiene,0-5,Tierra o cemento firme,Cero,Si tiene,Secundaria completa,D,36,Si,Muebles,,,,,Soriana,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,Chedraui,Liverpool,,,,Coppel,Elektra,Famsa,Bodega Aurrerá,Walmart,Liverpool,,,,,,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,Chedraui,Soriana,Salinas y Rocha,Liverpool,,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,Liverpool,,,,,Famsa,Soriana,,,,,,,,,Coppel,Bodega Aurrerá,Soriana,,,,,,,,Coppel,Bodega Aurrerá,Soriana,,,,,,,,Coppel,Bodega Aurrerá,Soriana,,,,,,,,Soriana,Bodega Aurrerá,,Satisfecho,,Insatisfecho,,,Insatisfecho,,,,,He cambiado mi opinión recientemente para bien,,He cambiado mi opinión recientemente para bien,,,He cambiado mi opinión recientemente para bien,,,,Bodega Aurrerá,,,,,,Coppel,,,,,,Coppel,,,,,,Coppel,,,,,,Elektra,,,,,,Famsa,,,,,,Coppel,,,,,,Bodega Aurrerá,,,,,,Liverpool,,,,,,Liverpool,,,,,,Bodega Aurrerá,,,,,,Liverpool,,,,,,Coppel,,,,,,Bodega Aurrerá,,,,,,Liverpool,,,,,,Bodega Aurrerá,,,,,,Coppel,,,,,,Famsa,,,,,,Elektra,,,,,,Coppel,,,,,,Coppel,,,,,,Liverpool,,,,,,Coppel,,,,,,4,4,2,7,5,9,3,5,3,6,7,8,4,6,3,7,4,8,8,9,7,9,5,9,4,8,4,7,5,6,8,5,7,6,6,9,No estoy seguro si compraría o no,Seguramente no compraría ahí,No estoy seguro si compraría o no,Probablemente compraría ahí,Probablemente no compraría ahí,Estoy seguro que compraría ahí,,Radio,,Periódicos,,,,,,,,,,Televisión,Radio,,Periódicos,,,,,,,,,,,,,Periódicos,,,,,,,,,,Televisión,Radio,,,,,,,,,,,,,,,Periódicos,,,,,,,,,,Televisión,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TIENE ABONOS CHIQUITOS A CREDITO ES MAS BARTO, TE LO ENTREGAN DE INMEDIATO",QUE PUEDES SACAR COSAS A PAGOS,No cambió nada,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,No concuerda  en nada,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,No concuerda  en nada,Concuerda en parte,"TIENEN DEMASIADAS OFERTAS, PUEDES PAGAR EN PAGOS, SACAR LAS COSAS AL MOMENTO",PUEDES OBTENER MUCHAS VENTAJAS SOLO QUE NO PUEDES ATRASARTE CON LOS PAGOS,No cambió nada,Concuerda en parte,No concuerda  en nada,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,No concuerda  en nada,Concuerda en parte,No concuerda  en nada
6,3,ANGELES JUAREZ,HILARIO CANO,270915,10:00:00 AM,10:33:00 AM,México D.F.,Efectiva,2,0,Mujer,36-55,D+/D,Cliente frecuente de la competencia,Cinco,Uno,Si tiene,0-5,Tierra o cemento firme,Cero,Si tiene,Carrera técnica,D+,52,Si,Electrónica,,,,,Bodega Aurrerá,Elektra,Coppel,Walmart,Chedraui,Soriana,Salinas y Rocha,Liverpool,,,,Elektra,Coppel,Bodega Aurrerá,Walmart,Soriana,Liverpool,,,,,,Elektra,Coppel,Famsa,Bodega Aurrerá,Walmart,Chedraui,Soriana,Salinas y Rocha,Liverpool,,Elektra,Coppel,Bodega Aurrerá,Walmart,Soriana,Liverpool,,,,,Coppel,Bodega Aurrerá,Soriana,,,,,,,,Bodega Aurrerá,Soriana,,,,,,,,,Famsa,Bodega Aurrerá,Walmart,Soriana,,,,,,,Famsa,Bodega Aurrerá,Walmart,Soriana,,,,,,,Soriana,Elektra,,,,Regular,,,Satisfecho,,,,,,,He cambiado mi opinión recientemente para bien,,,He cambiado mi opinión recientemente para bien,,,,Elektra,,,,,,Coppel,,,,,,Elektra,,,,,,Coppel,,,,,,Famsa,,,,,,Elektra,,,,,,Famsa,,,,,,Famsa,,,,,,Elektra,,,,,,Coppel,,,,,,Elektra,,,,,,Famsa,,,,,,Famsa,,,,,,Coppel,,,,,,Famsa,,,,,,Elektra,,,,,,Famsa,,,,,,Elektra,,,,,,Elektra,,,,,,Elektra,,,,,,Famsa,,,,,,Coppel,,,,,,Famsa,,,,,,7,2,10,9,7,8,5,6,7,3,8,9,10,3,3,8,7,6,8,5,10,8,9,6,5,10,8,7,9,10,7,5,8,9,8,9,Probablemente no compraría ahí,Seguramente no compraría ahí,Probablemente no compraría ahí,No estoy seguro si compraría o no,Probablemente no compraría ahí,No estoy seguro si compraría o no,Televisión,,,,,,,,,,,,,,,,Periódicos,,,,,,,,,,,,,,,,,,,,,,,Televisión,,,,,,,,,,,,,Televisión,,,,,,,,,,,,,Televisión,,,,,,,,,,,,,Soriana,,,Revistas,,,,,,,,,,,,,,,,,,,,,,,,,"GUARDADITO, CIERRAN TARDE A LAS 9 LOS 365 DIAS DEL AÑO",QUE NO IMPORTA SI ES DIA FESTIVO ELLOS LABORAN,Mucho mejor y más interesado,Concuerda Completamente,Concuerda en parte,Concuerda Completamente,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,"QUE CONFIAN EN NUESTRA PLABRA, QUE SON CONFIABLES",QUE LAS FAMILIAS OBTIENEN LO QUE QUIEREN BARATO Y BUENO,Un poco mejor,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda Completamente,Concuerda Completamente,Concuerda Completamente,Concuerda en parte,Concuerda en parte,Concuerda en parte,Concuerda Completamente
